fecha,tmed
2019-01-01,"11,4"
2019-01-02,"11,2"
2019-01-03,"9,2"
2019-01-04,"8,4"
2019-01-05,"11,4"
2019-01-06,"13,2"
2019-01-07,"10,8"
2019-01-08,"9,7"
2019-01-09,"11,3"
2019-01-10,"8,4"
2019-01-11,"6,8"
2019-01-12,"8,4"
2019-01-13,"10,8"
2019-01-14,"13,5"
2019-01-15,"10,6"
2019-01-16,"11,2"
2019-01-17,"11,8"
2019-01-18,"8,3"
2019-01-19,"8,9"
2019-01-20,"8,2"
2019-01-21,"8,6"
2019-01-22,"7,4"
2019-01-23,"8,8"
2019-01-24,"9,0"
2019-01-25,"8,8"
2019-01-26,"10,8"
2019-01-27,"11,6"
2019-01-28,"10,4"
2019-01-29,"7,9"
2019-01-30,"9,8"
2019-01-31,"12,8"
2019-02-01,"12,2"
2019-02-02,"10,2"
2019-02-03,"9,8"
2019-02-04,"9,2"
2019-02-05,"11,6"
2019-02-06,"11,5"
2019-02-07,"10,1"
2019-02-08,"11,6"
2019-02-09,"12,0"
2019-02-10,"13,8"
2019-02-11,"13,2"
2019-02-12,"11,2"
2019-02-13,"9,9"
2019-02-14,"9,1"
2019-02-15,"9,2"
2019-02-16,"9,4"
2019-02-17,"10,1"
2019-02-18,"10,6"
2019-02-19,"11,9"
2019-02-20,"12,2"
2019-02-21,"10,4"
2019-02-22,"14,9"
2019-02-23,"14,4"
2019-02-24,"12,2"
2019-02-25,"10,7"
2019-02-26,"13,2"
2019-02-27,"13,2"
2019-02-28,"13,8"
2019-03-01,"12,0"
2019-03-02,"14,0"
2019-03-03,"13,7"
2019-03-04,"16,8"
2019-03-05,"13,9"
2019-03-06,"13,6"
2019-03-07,"14,8"
2019-03-08,"12,3"
2019-03-09,"12,7"
2019-03-10,"15,2"
2019-03-11,"13,7"
2019-03-12,"13,7"
2019-03-13,"12,0"
2019-03-14,"12,6"
2019-03-15,"14,4"
2019-03-16,"13,5"
2019-03-17,"13,2"
2019-03-18,"12,6"
2019-03-19,"12,4"
2019-03-20,"11,7"
2019-03-21,"11,6"
2019-03-22,"13,4"
2019-03-23,
2019-03-24,"16,1"
2019-03-25,"16,6"
2019-03-26,"15,0"
2019-03-27,"11,6"
2019-03-28,"12,8"
2019-03-29,"12,5"
2019-03-30,"12,5"
2019-03-31,"12,2"
2019-04-01,"14,2"
2019-04-02,"14,0"
2019-04-03,"12,4"
2019-04-04,"10,7"
2019-04-05,"11,0"
2019-04-06,"12,5"
2019-04-07,"13,0"
2019-04-08,"12,6"
2019-04-09,"13,3"
2019-04-10,"13,9"
2019-04-11,"14,8"
2019-04-12,"14,8"
2019-04-13,"14,0"
2019-04-14,"12,6"
2019-04-15,"13,7"
2019-04-16,"14,1"
2019-04-17,"14,2"
2019-04-18,"14,4"
2019-04-19,"16,1"
2019-04-20,"15,8"
2019-04-21,"15,6"
2019-04-22,"15,4"
2019-04-23,"15,7"
2019-04-24,"14,6"
2019-04-25,"15,6"
2019-04-26,"17,0"
2019-04-27,"14,6"
2019-04-28,"14,1"
2019-04-29,"15,1"
2019-04-30,"15,7"
2019-05-01,"16,0"
2019-05-02,"15,9"
2019-05-03,"13,2"
2019-05-04,"14,2"
2019-05-05,"15,6"
2019-05-06,"13,3"
2019-05-07,"14,4"
2019-05-08,"17,8"
2019-05-09,"16,7"
2019-05-10,"17,6"
2019-05-11,"17,2"
2019-05-12,"16,7"
2019-05-13,"15,3"
2019-05-14,"15,9"
2019-05-15,"15,4"
2019-05-16,"14,5"
2019-05-17,"13,8"
2019-05-18,"15,1"
2019-05-19,"14,0"
2019-05-20,"15,4"
2019-05-21,"15,6"
2019-05-22,"16,8"
2019-05-23,"17,2"
2019-05-24,"15,3"
2019-05-25,"18,6"
2019-05-26,"19,4"
2019-05-27,
2019-05-28,"18,0"
2019-05-29,"17,1"
2019-05-30,"17,0"
2019-05-31,"18,5"
2019-06-01,"20,8"
2019-06-02,"20,0"
2019-06-03,"21,0"
2019-06-04,"19,6"
2019-06-05,"20,4"
2019-06-06,"18,2"
2019-06-07,"21,9"
2019-06-08,"19,0"
2019-06-09,"22,2"
2019-06-10,"21,8"
2019-06-11,"15,8"
2019-06-12,"15,5"
2019-06-13,"17,3"
2019-06-14,"21,4"
2019-06-15,"20,2"
2019-06-16,
2019-06-17,"21,0"
2019-06-18,"21,5"
2019-06-19,"20,5"
2019-06-20,"21,4"
2019-06-21,"22,8"
2019-06-22,"23,0"
2019-06-23,"22,9"
2019-06-24,"22,0"
2019-06-25,"23,0"
2019-06-26,"25,4"
2019-06-27,"25,8"
2019-06-28,"28,8"
2019-06-29,"27,8"
2019-06-30,"24,7"
2019-07-01,"24,6"
2019-07-02,"24,8"
2019-07-03,"25,7"
2019-07-04,"25,6"
2019-07-05,"25,4"
2019-07-06,"26,5"
2019-07-07,"27,0"
2019-07-08,"26,6"
2019-07-09,"25,6"
2019-07-10,"25,0"
2019-07-11,"26,0"
2019-07-12,"24,8"
2019-07-13,"26,2"
2019-07-14,"24,9"
2019-07-15,"24,8"
2019-07-16,"24,6"
2019-07-17,"22,5"
2019-07-18,"24,4"
2019-07-19,"25,2"
2019-07-20,"26,0"
2019-07-21,"25,4"
2019-07-22,"26,4"
2019-07-23,"26,8"
2019-07-24,"26,4"
2019-07-25,"26,4"
2019-07-26,"27,1"
2019-07-27,"22,3"
2019-07-28,"23,0"
2019-07-29,"24,0"
2019-07-30,"25,9"
2019-07-31,"24,5"
2019-08-01,"24,9"
2019-08-02,"26,3"
2019-08-03,"26,8"
2019-08-04,"26,4"
2019-08-05,"27,4"
2019-08-06,"26,4"
2019-08-07,"26,4"
2019-08-08,"27,0"
2019-08-09,"27,2"
2019-08-10,"27,2"
2019-08-11,"26,4"
2019-08-12,"24,1"
2019-08-13,"23,4"
2019-08-14,"23,6"
2019-08-15,"25,2"
2019-08-16,"25,1"
2019-08-17,"25,7"
2019-08-18,"25,6"
2019-08-19,"25,1"
2019-08-20,"25,3"
2019-08-21,"24,1"
2019-08-22,"25,2"
2019-08-23,"24,6"
2019-08-24,"25,0"
2019-08-25,"25,6"
2019-08-26,"24,9"
2019-08-27,"22,5"
2019-08-28,"24,8"
2019-08-29,"26,4"
2019-08-30,"27,0"
2019-08-31,"26,6"
2019-09-01,"25,5"
2019-09-02,"23,6"
2019-09-03,"23,8"
2019-09-04,"24,0"
2019-09-05,"23,2"
2019-09-06,"22,1"
2019-09-07,"21,8"
2019-09-08,"22,0"
2019-09-09,"21,8"
2019-09-10,"18,6"
2019-09-11,"20,4"
2019-09-12,"22,7"
2019-09-13,"22,1"
2019-09-14,"23,8"
2019-09-15,"22,9"
2019-09-16,"23,2"
2019-09-17,"23,0"
2019-09-18,"23,6"
2019-09-19,"23,7"
2019-09-20,"22,0"
2019-09-21,"21,0"
2019-09-22,"22,4"
2019-09-23,"21,3"
2019-09-24,"24,0"
2019-09-25,"22,5"
2019-09-26,"22,4"
2019-09-27,"22,0"
2019-09-28,"23,2"
2019-09-29,"23,1"
2019-09-30,"22,6"
2019-10-01,"22,3"
2019-10-02,"22,2"
2019-10-03,"20,5"
2019-10-04,"21,1"
2019-10-05,"20,4"
2019-10-06,"20,4"
2019-10-07,"20,3"
2019-10-08,"20,9"
2019-10-09,"21,2"
2019-10-10,"19,5"
2019-10-11,"21,0"
2019-10-12,"21,9"
2019-10-13,"21,7"
2019-10-14,"21,6"
2019-10-15,"18,2"
2019-10-16,"18,2"
2019-10-17,"18,7"
2019-10-18,"20,4"
2019-10-19,
2019-10-20,
2019-10-21,"16,8"
2019-10-22,"17,5"
2019-10-23,"17,7"
2019-10-24,"16,7"
2019-10-25,"17,4"
2019-10-26,"18,6"
2019-10-27,"17,6"
2019-10-28,"17,6"
2019-10-29,"18,4"
2019-10-30,"18,2"
2019-10-31,"19,8"
2019-11-01,"17,6"
2019-11-02,"20,2"
2019-11-03,"18,8"
2019-11-04,"19,6"
2019-11-05,"15,8"
2019-11-06,"15,0"
2019-11-07,"15,4"
2019-11-08,"11,7"
2019-11-09,"12,2"
2019-11-10,"12,2"
2019-11-11,"12,0"
2019-11-12,"13,2"
2019-11-13,"11,9"
2019-11-14,"9,8"
2019-11-15,"9,2"
2019-11-16,"10,4"
2019-11-17,"9,8"
2019-11-18,"11,4"
2019-11-19,"10,2"
2019-11-20,"9,2"
2019-11-21,"11,6"
2019-11-22,"12,4"
2019-11-23,"13,6"
2019-11-24,"13,4"
2019-11-25,"14,0"
2019-11-26,"13,8"
2019-11-27,"16,2"
2019-11-28,"16,6"
2019-11-29,"15,4"
2019-11-30,"13,6"
2019-12-01,"14,0"
2019-12-02,"12,0"
2019-12-03,"10,9"
2019-12-04,"11,8"
2019-12-05,"12,2"
2019-12-06,"13,7"
2019-12-07,"13,0"
2019-12-08,"11,2"
2019-12-09,"13,4"
2019-12-10,"10,6"
2019-12-11,"12,3"
2019-12-12,"10,8"
2019-12-13,"16,0"
2019-12-14,"15,7"
2019-12-15,"14,4"
2019-12-16,"11,8"
2019-12-17,"14,5"
2019-12-18,"15,4"
2019-12-19,"13,0"
2019-12-20,"15,5"
2019-12-21,"15,6"
2019-12-22,"15,8"
2019-12-23,"13,0"
2019-12-24,"13,3"
2019-12-25,"14,0"
2019-12-26,"13,4"
2019-12-27,"12,0"
2019-12-28,"11,0"
2019-12-29,"12,3"
2019-12-30,"11,6"
2019-12-31,"10,8"
2020-01-01,"8,9"
2020-01-02,"9,2"
2020-01-03,"10,5"
2020-01-04,"10,2"
2020-01-05,"11,0"
2020-01-06,"10,8"
2020-01-07,"10,6"
2020-01-08,"11,7"
2020-01-09,"10,1"
2020-01-10,"10,1"
2020-01-11,"9,4"
2020-01-12,"8,7"
2020-01-13,"9,2"
2020-01-14,"9,6"
2020-01-15,"9,8"
2020-01-16,"10,2"
2020-01-17,"13,9"
2020-01-18,"11,6"
2020-01-19,"10,2"
2020-01-20,"8,8"
2020-01-21,"10,1"
2020-01-22,"11,8"
2020-01-23,"12,0"
2020-01-24,"11,2"
2020-01-25,"11,4"
2020-01-26,"13,1"
2020-01-27,"12,2"
2020-01-28,"14,3"
2020-01-29,"12,2"
2020-01-30,"14,2"
2020-01-31,"14,5"
2020-02-01,"16,4"
2020-02-02,"16,8"
2020-02-03,"17,3"
2020-02-04,"16,0"
2020-02-05,"11,7"
2020-02-06,"11,0"
2020-02-07,"10,5"
2020-02-08,"11,9"
2020-02-09,"11,7"
2020-02-10,"16,7"
2020-02-11,"14,4"
2020-02-12,"12,2"
2020-02-13,"13,8"
2020-02-14,"13,1"
2020-02-15,"12,6"
2020-02-16,"13,3"
2020-02-17,"14,0"
2020-02-18,"12,3"
2020-02-19,"11,4"
2020-02-20,"11,0"
2020-02-21,"12,7"
2020-02-22,"11,8"
2020-02-23,"13,6"
2020-02-24,"14,8"
2020-02-25,"12,3"
2020-02-26,"14,6"
2020-02-27,"14,6"
2020-02-28,"13,7"
2020-02-29,"15,0"
2020-03-01,"16,6"
2020-03-02,"13,4"
2020-03-03,"11,9"
2020-03-04,"13,6"
2020-03-05,"15,6"
2020-03-06,"12,8"
2020-03-07,"12,8"
2020-03-08,"13,0"
2020-03-09,"13,4"
2020-03-10,"13,0"
2020-03-11,"13,1"
2020-03-12,"14,0"
2020-03-13,"14,3"
2020-03-14,"15,1"
2020-03-15,"13,2"
2020-03-16,"13,4"
2020-03-17,"13,6"
2020-03-18,"14,2"
2020-03-19,"12,4"
2020-03-20,"12,2"
2020-03-21,"12,6"
2020-03-22,"13,0"
2020-03-23,"13,4"
2020-03-24,"11,6"
2020-03-25,"10,8"
2020-03-26,"8,5"
2020-03-27,"10,7"
2020-03-28,"13,4"
2020-03-29,"14,0"
2020-03-30,"10,6"
2020-03-31,"10,7"
2020-04-01,"11,0"
2020-04-02,"11,9"
2020-04-03,"12,0"
2020-04-04,"12,4"
2020-04-05,"12,2"
2020-04-06,"13,8"
2020-04-07,"15,2"
2020-04-08,"15,7"
2020-04-09,"15,0"
2020-04-10,"14,4"
2020-04-11,"14,0"
2020-04-12,"15,7"
2020-04-13,"13,5"
2020-04-14,"15,2"
2020-04-15,"14,2"
2020-04-16,"16,1"
2020-04-17,"15,8"
2020-04-18,"16,2"
2020-04-19,"15,0"
2020-04-20,"16,5"
2020-04-21,"14,0"
2020-04-22,"14,5"
2020-04-23,"16,8"
2020-04-24,"17,3"
2020-04-25,"16,0"
2020-04-26,"16,0"
2020-04-27,"16,0"
2020-04-28,"17,4"
2020-04-29,"16,8"
2020-04-30,"19,8"
2020-05-01,"21,4"
2020-05-02,"19,4"
2020-05-03,"19,6"
2020-05-04,"19,2"
2020-05-05,"19,2"
2020-05-06,"20,5"
2020-05-07,"20,3"
2020-05-08,"19,4"
2020-05-09,"17,7"
2020-05-10,"16,8"
2020-05-11,"19,5"
2020-05-12,"16,8"
2020-05-13,"18,7"
2020-05-14,"15,9"
2020-05-15,"17,4"
2020-05-16,"18,6"
2020-05-17,"19,4"
2020-05-18,"18,8"
2020-05-19,"21,0"
2020-05-20,"20,4"
2020-05-21,"22,4"
2020-05-22,"21,7"
2020-05-23,"21,4"
2020-05-24,"20,6"
2020-05-25,"20,9"
2020-05-26,"21,6"
2020-05-27,"20,8"
2020-05-28,"20,2"
2020-05-29,"21,6"
2020-05-30,"20,4"
2020-05-31,"20,1"
2020-06-01,"21,6"
2020-06-02,"20,5"
2020-06-03,"20,4"
2020-06-04,"18,8"
2020-06-05,"19,2"
2020-06-06,"20,4"
2020-06-07,"19,3"
2020-06-08,"17,9"
2020-06-09,"18,2"
2020-06-10,"18,2"
2020-06-11,"19,8"
2020-06-12,"22,2"
2020-06-13,"22,2"
2020-06-14,"21,1"
2020-06-15,"21,6"
2020-06-16,"20,0"
2020-06-17,"19,3"
2020-06-18,"18,3"
2020-06-19,"20,9"
2020-06-20,"21,4"
2020-06-21,"22,6"
2020-06-22,"23,0"
2020-06-23,"23,4"
2020-06-24,"22,8"
2020-06-25,"25,0"
2020-06-26,"25,6"
2020-06-27,"24,7"
2020-06-28,"24,4"
2020-06-29,"25,0"
2020-06-30,"25,1"
2020-07-01,"26,3"
2020-07-02,"25,2"
2020-07-03,"22,2"
2020-07-04,"23,2"
2020-07-05,"24,4"
2020-07-06,"25,3"
2020-07-07,"24,5"
2020-07-08,"24,9"
2020-07-09,"25,5"
2020-07-10,"26,2"
2020-07-11,"24,8"
2020-07-12,"25,6"
2020-07-13,"26,3"
2020-07-14,"25,8"
2020-07-15,"24,7"
2020-07-16,"22,0"
2020-07-17,"23,6"
2020-07-18,"25,2"
2020-07-19,"25,4"
2020-07-20,"25,5"
2020-07-21,"25,3"
2020-07-22,"25,0"
2020-07-23,"27,2"
2020-07-24,"27,0"
2020-07-25,"26,3"
2020-07-26,"26,4"
2020-07-27,"26,0"
2020-07-28,"26,9"
2020-07-29,"26,8"
2020-07-30,"26,9"
2020-07-31,"27,4"
2020-08-01,"28,1"
2020-08-02,"28,1"
2020-08-03,"22,7"
2020-08-04,"23,7"
2020-08-05,"25,0"
2020-08-06,"26,6"
2020-08-07,"26,8"
2020-08-08,"27,0"
2020-08-09,"27,6"
2020-08-10,"26,8"
2020-08-11,"27,4"
2020-08-12,"28,0"
2020-08-13,"27,3"
2020-08-14,"26,4"
2020-08-15,"25,8"
2020-08-16,"26,2"
2020-08-17,"25,8"
2020-08-18,"26,4"
2020-08-19,"25,8"
2020-08-20,"26,8"
2020-08-21,"27,0"
2020-08-22,"27,5"
2020-08-23,"25,6"
2020-08-24,"25,1"
2020-08-25,"26,3"
2020-08-26,"26,6"
2020-08-27,"26,6"
2020-08-28,"25,4"
2020-08-29,"20,0"
2020-08-30,"20,7"
2020-08-31,"20,6"
2020-09-01,"22,4"
2020-09-02,"22,6"
2020-09-03,"23,4"
2020-09-04,"24,1"
2020-09-05,"24,0"
2020-09-06,"23,2"
2020-09-07,"20,2"
2020-09-08,"21,8"
2020-09-09,"20,5"
2020-09-10,"21,6"
2020-09-11,"24,6"
2020-09-12,"24,9"
2020-09-13,"25,8"
2020-09-14,"24,5"
2020-09-15,"23,0"
2020-09-16,"24,2"
2020-09-17,"25,0"
2020-09-18,"24,0"
2020-09-19,"24,0"
2020-09-20,"23,5"
2020-09-21,"21,0"
2020-09-22,"22,2"
2020-09-23,"22,3"
2020-09-24,"22,9"
2020-09-25,"18,4"
2020-09-26,"17,4"
2020-09-27,"16,2"
2020-09-28,"17,8"
2020-09-29,"19,2"
2020-09-30,"18,7"
2020-10-01,"21,0"
2020-10-02,"16,7"
2020-10-03,"15,4"
2020-10-04,"18,0"
2020-10-05,"17,5"
2020-10-06,"19,0"
2020-10-07,"20,8"
2020-10-08,"20,3"
2020-10-09,"20,7"
2020-10-10,"17,0"
2020-10-11,"16,1"
2020-10-12,"17,5"
2020-10-13,"17,2"
2020-10-14,"13,9"
2020-10-15,"13,4"
2020-10-16,"13,7"
2020-10-17,"14,0"
2020-10-18,"14,8"
2020-10-19,"15,8"
2020-10-20,"18,1"
2020-10-21,"21,2"
2020-10-22,"19,6"
2020-10-23,"20,2"
2020-10-24,"17,4"
2020-10-25,"19,0"
2020-10-26,"16,0"
2020-10-27,"14,4"
2020-10-28,"17,8"
2020-10-29,"16,8"
2020-10-30,"17,2"
2020-10-31,"16,8"
2020-11-01,"17,0"
2020-11-02,"17,5"
2020-11-03,"16,8"
2020-11-04,"14,2"
2020-11-05,"15,0"
2020-11-06,"17,5"
2020-11-07,"17,1"
2020-11-08,"17,0"
2020-11-09,"15,7"
2020-11-10,"16,4"
2020-11-11,"16,2"
2020-11-12,"15,8"
2020-11-13,"15,6"
2020-11-14,"16,4"
2020-11-15,"18,1"
2020-11-16,"17,6"
2020-11-17,"16,4"
2020-11-18,"15,2"
2020-11-19,"16,4"
2020-11-20,"13,7"
2020-11-21,"11,8"
2020-11-22,"10,8"
2020-11-23,"12,2"
2020-11-24,"12,2"
2020-11-25,"15,0"
2020-11-26,"15,7"
2020-11-27,"15,0"
2020-11-28,"13,4"
2020-11-29,"16,6"
2020-11-30,"13,3"
2020-12-01,"12,0"
2020-12-02,"11,3"
2020-12-03,"9,2"
2020-12-04,"9,8"
2020-12-05,"8,2"
2020-12-06,"9,1"
2020-12-07,"10,6"
2020-12-08,"9,6"
2020-12-09,"9,7"
2020-12-10,"12,2"
2020-12-11,"11,8"
2020-12-12,"13,3"
2020-12-13,"12,0"
2020-12-14,"11,8"
2020-12-15,"15,2"
2020-12-16,"13,4"
2020-12-17,"12,6"
2020-12-18,"14,0"
2020-12-19,"13,8"
2020-12-20,"14,0"
2020-12-21,"13,9"
2020-12-22,"12,8"
2020-12-23,"13,6"
2020-12-24,"11,6"
2020-12-25,"9,6"
2020-12-26,"9,4"
2020-12-27,"7,3"
2020-12-28,"10,2"
2020-12-29,"10,4"
2020-12-30,"9,0"
2020-12-31,"9,8"
2021-01-01,"8,1"
2021-01-02,"7,0"
2021-01-03,"6,8"
2021-01-04,"6,3"
2021-01-05,"6,4"
2021-01-06,"6,2"
2021-01-07,"5,8"
2021-01-08,"4,9"
2021-01-09,"5,8"
2021-01-10,"7,0"
2021-01-11,"6,0"
2021-01-12,"6,6"
2021-01-13,"9,0"
2021-01-14,"8,4"
2021-01-15,"8,6"
2021-01-16,"9,2"
2021-01-17,"11,4"
2021-01-18,"9,8"
2021-01-19,"10,6"
2021-01-20,"11,5"
2021-01-21,"12,8"
2021-01-22,"12,0"
2021-01-23,"12,3"
2021-01-24,"13,0"
2021-01-25,"12,6"
2021-01-26,"10,7"
2021-01-27,"11,4"
2021-01-28,"13,6"
2021-01-29,"17,2"
2021-01-30,"15,0"
2021-01-31,"14,0"
2021-02-01,"16,7"
2021-02-02,"15,6"
2021-02-03,"16,2"
2021-02-04,"12,8"
2021-02-05,"12,8"
2021-02-06,"14,4"
2021-02-07,"11,6"
2021-02-08,"11,9"
2021-02-09,"12,2"
2021-02-10,"13,2"
2021-02-11,"11,8"
2021-02-12,"11,8"
2021-02-13,"12,3"
2021-02-14,"9,8"
2021-02-15,"9,8"
2021-02-16,"12,1"
2021-02-17,"11,9"
2021-02-18,"11,2"
2021-02-19,"10,6"
2021-02-20,"11,6"
2021-02-21,"12,2"
2021-02-22,"12,8"
2021-02-23,"14,4"
2021-02-24,"14,0"
2021-02-25,"13,0"
2021-02-26,"13,2"
2021-02-27,"12,2"
2021-02-28,"12,7"
2021-03-01,"12,4"
2021-03-02,"12,9"
2021-03-03,"13,2"
2021-03-04,"13,1"
2021-03-05,"12,2"
2021-03-06,"12,6"
2021-03-07,"12,3"
2021-03-08,"12,1"
2021-03-09,"12,4"
2021-03-10,"11,2"
2021-03-11,"12,6"
2021-03-12,"12,9"
2021-03-13,"13,1"
2021-03-14,"13,3"
2021-03-15,"12,0"
2021-03-16,"12,3"
2021-03-17,"13,7"
2021-03-18,"10,1"
2021-03-19,"8,4"
2021-03-20,"9,6"
2021-03-21,"9,7"
2021-03-22,"11,5"
2021-03-23,"11,9"
2021-03-24,"12,3"
2021-03-25,"12,2"
2021-03-26,"13,4"
2021-03-27,"14,2"
2021-03-28,"13,3"
2021-03-29,"12,8"
2021-03-30,"13,2"
2021-03-31,"13,4"
2021-04-01,"13,6"
2021-04-02,"14,6"
2021-04-03,"16,5"
2021-04-04,"15,0"
2021-04-05,"14,2"
2021-04-06,"13,0"
2021-04-07,"10,6"
2021-04-08,"11,2"
2021-04-09,"12,0"
2021-04-10,"12,6"
2021-04-11,"13,0"
2021-04-12,"10,8"
2021-04-13,"12,3"
2021-04-14,"13,2"
2021-04-15,"12,8"
2021-04-16,"11,6"
2021-04-17,"11,0"
2021-04-18,"11,9"
2021-04-19,"12,7"
2021-04-20,"13,6"
2021-04-21,"12,6"
2021-04-22,"13,1"
2021-04-23,"14,2"
2021-04-24,"14,2"
2021-04-25,"15,0"
2021-04-26,"15,0"
2021-04-27,"15,6"
2021-04-28,"15,9"
2021-04-29,"16,0"
2021-04-30,"16,0"
2021-05-01,"14,6"
2021-05-02,"13,4"
2021-05-03,"14,0"
2021-05-04,"14,4"
2021-05-05,"16,7"
2021-05-06,"17,0"
2021-05-07,"17,0"
2021-05-08,"18,9"
2021-05-09,"17,0"
2021-05-10,"17,4"
2021-05-11,"18,0"
2021-05-12,"16,4"
2021-05-13,"17,6"
2021-05-14,"16,4"
